Weight,date
59,2018.01.01
65,2019.02.1
65.2,2019.02.2
65,2019.02.3
67.1,2019.02.4
66.4,2019.02.5
65.5,2019.02.6
65.6,2019.02.7
65.1,2019.02.8
66.3,2019.02.9
65,2019.02.10
65.9,2019.02.11
66.5,2019.02.12
65.2,2019.02.13
66.2,2019.02.14
65.4,2019.02.15
65.6,2019.02.16
66.6,2019.02.17
66.4,2019.02.18
66,2019.02.19
65,2019.02.20
65,2019.02.21
64.9,2019.02.22
64.9,2019.02.23
65.7,2019.02.24
64.8,2019.02.25
64.8,2019.02.26
64.4,2019.02.27
64.4,2019.02.28
64.4,2019.03.1
64.4,2019.03.2
64.8,2019.03.3
64.8,2019.03.4
64.8,2019.03.5
64.3,2019.03.6
63.7,2019.03.7
63.8,2019.03.8
64.8,2019.03.9
64.2,2019.03.10
64.2,2019.03.11
63.4,2019.03.12
63.8,2019.03.13
63.5,2019.03.14
62.8,2019.03.15
63.5,2019.03.16
64.5,2019.03.17
64.3,2019.03.18
64.3,2019.03.19
64.3,2019.03.20
64.2,2019.03.21
63.6,2019.03.22
63.4,2019.03.23
63.3,2019.03.24
64.2,2019.03.25
64,2019.03.26
63.9,2019.03.27
63.4,2019.03.28
63.4,2019.03.29
62.9,2019.03.30
63.8,2019.03.31
63.5,2019.04.1
63.1,2019.04.2
63.7,2019.04.3
62.9,2019.04.4
63.3,2019.04.5
63.3,2019.04.6
63.8,2019.04.7
63.4,2019.04.8
63,2019.04.9
63.6,2019.04.10
63,2019.04.11
63.2,2019.04.12
63.2,2019.04.13
63.2,2019.04.14
62.6,2019.04.15
62.9,2019.04.16
63.3,2019.04.17
63.1,2019.04.18
63.1,2019.04.19
62.7,2019.04.20
63.9,2019.04.21
64.5,2019.04.22
64.5,2019.04.23
64.5,2019.04.24
64.5,2019.04.25
65.3,2019.04.26
63.5,2019.04.27
63.8,2019.04.28
64.7,2019.04.29
65.4,2019.04.30
64.7,2019.05.1
65.4,2019.05.2
64.4,2019.05.3
66.1,2019.05.4
68.2,2019.05.5
65,2019.05.6
66.6,2019.05.7
64.4,2019.05.8
65.6,2019.05.9
65.4,2019.05.10
65.8,2019.05.11
65.7,2019.05.12
64.8,2019.05.13
64.8,2019.05.14
64.8,2019.05.15
64.8,2019.05.16
65.1,2019.05.17
65.3,2019.05.18
64.8,2019.05.19
64.1,2019.05.20
64.5,2019.05.21
64.1,2019.05.22
63.8,2019.05.23
64.4,2019.05.24
66.8,2019.05.25
65.3,2019.05.26
64.5,2019.05.27
64.9,2019.05.28
64.9,2019.05.29
65.3,2019.05.30
65.4,2019.05.31
64.1,2019.06.1
64.7,2019.06.2
65.1,2019.06.3
64.7,2019.06.4
65.1,2019.06.5
65.5,2019.06.6
65.9,2019.06.7
65.9,2019.06.8
65.2,2019.06.9
65.4,2019.06.10
65.4,2019.06.11
64.4,2019.06.12
64.6,2019.06.13
64.7,2019.06.14
64.2,2019.06.15
64,2019.06.16
63.6,2019.06.17
63.6,2019.06.18
63.6,2019.06.19
63.3,2019.06.20
63.3,2019.06.21
63.3,2019.06.22
62.4,2019.06.23
62.9,2019.06.24
63.2,2019.06.25
63.2,2019.06.26
62.7,2019.06.27
62.2,2019.06.28
63.1,2019.06.29
62.4,2019.06.30
62.500,2019.07.1
63.500,2019.07.2
63.700,2019.07.2
64.600,2019.07.3
64.200,2019.07.4
63.600,2019.07.5
63.400,2019.07.6
63.2,2019.07.7
62.8,2019.07.8
62.2,2019.07.9
62.5,2019.07.10
62.5,2019.07.11
62.9,2019.07.12
62.8,2019.07.13
62.8,2019.07.14
62.8,2019.07.15
63.5,2019.07.16
63.1,2019.07.17
62,2019.07.18
61.9,2019.07.19
62,2019.07.20
62.2,2019.07.21
63.1,2019.07.22
63,2019.07.23
63.4,2019.07.24
63.4,2019.07.25
63.4,2019.07.26
64.4,2019.07.27
63,2019.07.28
63.1,2019.07.29
63.3,2019.07.30
63,2019.07.31
72,2019.08.1
66,2019.08.2
62,2019.08.3
72,2019.08.4
75,2019.08.5
63,2019.08.6
63.3,2019.08.7
63.3,2019.08.8
62.6,2019.08.9
62.6,2019.08.10
63.4,2019.08.11
63.1,2019.08.12
62.6,2019.08.13
63.2,2019.08.14
63.6,2019.08.15
63.5,2019.08.16
64.4,2019.08.17
63.8,2019.08.18
63.9,2019.08.19
64.8,2019.08.20
64.8,2019.08.21
64.8,2019.08.22
64.8,2019.08.23
65.3,2019.08.24
64.7,2019.08.25
65.1,2019.08.26
65,2019.08.27
64.1,2019.08.28
64.2,2019.08.29
64.2,2019.08.30
64.2,2019.08.31
63.6,2019.09.1
64.7,2019.09.2
63.7,2019.09.3
63.4,2019.09.4
63.2,2019.09.5
63.2,2019.09.6
63.8,2019.09.7
64.7,2019.09.8
64.7,2019.09.9
64.2,2019.09.10
63.9,2019.09.11
63.4,2019.09.12
62.6,2019.09.13
63.1,2019.09.14
63,2019.09.15
64.1,2019.09.16
63.7,2019.09.17
63.7,2019.09.18
63.7,2019.09.19
63.7,2019.09.20
63.3,2019.09.21
63.3,2019.09.22
63.3,2019.09.23
63.3,2019.09.24
63.6,2019.09.25
63.6,2019.09.26
63.6,2019.09.27
63.6,2019.09.28
64.2,2019.09.29
64.6,2019.09.30
64.3,2019.10.1
64.6,2019.10.2
64.2,2019.10.3
64.2,2019.10.4
66.58,2019.10.5
64.5,2019.10.6
63.9,2019.10.7
63.9,2019.10.8
64,2019.10.9
64.5,2019.10.10
64.5,2019.10.11
64.5,2019.10.12
65.1,2019.10.13
65.1,2019.10.14
65.9,2019.10.15
64.9,2019.10.16
65.2,2019.10.17
65.5,2019.10.18
65.7,2019.10.19
65.7,2019.10.20
65.7,2019.10.21
65.8,2019.10.22
65.2,2019.10.23
65.2,2019.10.24
64.7,2019.10.25
65.2,2019.10.26
65.2,2019.10.27
65.2,2019.10.28
63.2,2019.10.29
65.2,2019.10.30
64.3,2019.10.31
64,2019.11.1
65,2019.11.2
64,2019.11.3
65,2019.11.4
65,2019.11.5
65,2019.11.6
64,2019.11.7
64,2019.11.8
65,2019.11.9
65,2019.11.10
65,2019.11.11
65,2019.11.12
66,2019.11.13
66,2019.11.14
65,2019.11.15
65,2019.11.16
65,2019.11.17
65,2019.11.18
64,2019.11.19
65,2019.11.20
64,2019.11.21
64,2019.11.22
65,2019.11.23
65,2019.11.24
66,2019.11.25
66,2019.11.26
65,2019.11.27
64,2019.11.28
64,2019.11.29
63,2019.11.30
65,2019.12.1
64,2019.12.2
63,2019.12.3
64,2019.12.4
65,2019.12.5
64,2019.12.6
64,2019.12.7
65,2019.12.8
64,2019.12.9
64,2019.12.10
64,2019.12.11
63,2019.12.12
63,2019.12.13
62,2019.12.14
63,2019.12.15
64,2019.12.16
63,2019.12.17
63,2019.12.18
62,2019.12.19
63,2019.12.20
64,2019.12.21
64,2019.12.22
63,2019.12.23
63,2019.12.24
64,2019.12.25
65,2019.12.26
64,2019.12.27
64,2019.12.28
63,2019.12.29
64,2019.12.30
63,2019.12.31
63.150,2020.01.12
62.650,2020.01.12
60.460,2020.01.13
62.750,2020.01.13
60.950,2020.01.13
62.490,2020.01.13
64.900,2020.01.13
65.540,2020.01.13
65.100,2020.01.13
66.940,2020.01.13
69.900,2020.01.13
69.400,2020.01.13
67.470,2020.01.14
68.360,2020.01.14
68.460,2020.01.16
68.390,2020.01.17
68.320,2020.01.18
69.260,2020.01.19
69.340,2020.01.20
69.620,2020.01.21
69.060,2020.01.22
69.110,2020.01.23
69.340,2020.01.23
69.450,2020.01.24
69.340,2020.01.25
69.340,2020.01.26
69.450,2020.01.27
69.540,2020.01.28
68.510,2020.01.29
68.460,2020.01.30
68.960,2020.01.31
68.960,2020.02.01
69.040,2020.02.03
69.540,2020.02.04
69.560,2020.02.05
69.600,2020.02.06
70.110,2020.02.07
69.870,2020.02.08
70.560,2020.02.09
69.970,2020.02.10
70.670,2020.02.11
69.700,2020.02.12
69.740,2020.02.13
68.450,2020.02.14
68.300,2020.02.15
68.830,2020.02.16
69.140,2020.02.17
69.810,2020.02.18
68.200,2020.02.19
69.910,2020.02.20
69.130,2020.02.21
68.950,2020.02.22
69.050,2020.02.23
69.430,2020.02.24
70.490,2020.02.25
69.800,2020.02.26
69.600,2020.02.27
69.240,2020.02.28
68.740,2020.02.29
68.940,2020.03.01
69.000,2020.03.02
68.650,2020.03.03
69.700,2020.03.04
69.160,2020.03.05
69.100,2020.03.06
69.200,2020.03.07
68.550,2020.03.08
68.440,2020.03.10
68.500,2020.03.11
68.750,2020.03.12
68.440,2020.03.13
68.400,2020.03.13
68.330,2020.03.15
67.800,2020.03.16
68.460,2020.03.17
68.400,2020.03.18
68.300,2020.03.19
68.980,2020.03.20
68.740,2020.03.21
67.820,2020.03.22
67.970,2020.03.23
69.000,2020.03.24
68.300,2020.03.25
68.400,2020.03.26
69.140,2020.03.27
68.620,2020.03.28
68.700,2020.03.29
68.760,2020.03.30
69.110,2020.03.31
68.900,2020.04.01
69.200,2020.04.02
67.740,2020.04.03
68.600,2020.04.04
68.500,2020.04.05
68.470,2020.04.06
69.200,2020.04.08
68.700,2020.04.09
68.900,2020.04.11
68.500,2020.04.11
68.420,2020.04.12
68.800,2020.04.13
69.300,2020.04.15
68.850,2020.04.16
67.500,2020.04.17
68.000,2020.04.18
68.450,2020.04.19
67.800,2020.04.20
67.400,2020.04.21
67.400,2020.04.22
67.400,2020.04.23
67.400,2020.04.24
67.400,2020.04.25
66.700,2020.04.26
66.700,2020.04.27
66.300,2020.04.28
66.800,2020.04.29
66.800,2020.04.30
66.800,2020.05.02
66.500,2020.05.03
67.200,2020.05.04
66.900,2020.05.05
66.900,2020.05.06
67.000,2020.05.07
67.000,2020.05.08
67.000,2020.05.09
66.900,2020.05.10
67.500,2020.05.11
66.500,2020.05.12
66.000,2020.05.13
66.700,2020.05.15
66.700,2020.05.16
66.500,2020.05.17
65.900,2020.05.19
65.900,2020.05.20
66.300,2020.05.23
63.400,2020.05.26
66.400,2020.05.29
66.000,2020.06.02
66.000,2020.06.05
66.600,2020.06.11
66.800,2020.06.17
75,2021.04.01
84,2022.07.01
68,2023.06.10
68,2023.06.11
69,2023.06.12
70,2023.06.13
68,2023.06.14
68,2023.06.15
69,2023.06.16
68,2023.06.17
68,2023.06.18
68,2023.06.19
68,2023.06.20
67,2023.06.21
68,2023.06.22
67,2023.06.23
67,2023.06.24
69,2023.06.25
69,2023.06.26
68,2023.06.27
68,2023.06.28
68,2023.06.29
67,2023.06.30
67,2023.07.01
68,2023.07.02
69,2023.07.03
69,2023.07.04
69,2023.07.05
69,2023.07.06
69,2023.07.07
69,2023.07.08
68,2023.07.09
69,2023.07.10
69,2023.07.11
69,2023.07.12
70,2023.07.13
70,2023.07.14
68,2023.07.15
69,2023.07.16
69,2023.07.17
68,2023.07.18
69,2023.07.19
69,2023.07.20
67,2023.07.21
67,2023.07.22
68,2023.07.23
70,2023.07.24
68,2023.07.25
69,2023.07.26
69,2023.07.27
69,2023.07.28
69,2023.07.29
69,2023.07.30
69,2023.08.01
69,2023.08.01
69,2023.08.02
69,2023.08.04
68,2023.08.05
69,2023.08.06
69,2023.08.06
69,2023.08.08
68,2023.08.08
69,2023.08.09
69,2023.08.10
68,2023.08.11
69,2023.08.12
68,2023.08.13
68,2023.08.14
68,2023.08.15
68,2023.08.16
67,2023.08.18
68,2023.08.19
69,2023.08.19
69,2023.08.20
67,2023.08.21
68,2023.08.22
68,2023.08.23
69,2023.08.24
69,2023.08.25
69,2023.08.27
68,2023.08.27
69,2023.08.28
69,2023.08.29
70,2023.08.30
70,2023.08.31
70,2023.09.02
70,2023.09.02
69,2023.09.03
70,2023.09.04
69,2023.09.06
69,2023.09.08
69,2023.09.08
69,2023.09.09
69,2023.09.11
68,2023.09.11
69,2023.09.11
68,2023.09.12
69,2023.09.13
69,2023.09.14
68,2023.09.15
68,2023.09.16
69,2023.09.17
67,2023.09.18
67,2023.09.19
67,2023.09.20
68,2023.09.21
68,2023.09.23
67,2023.09.24
66,2023.09.24
69,2023.09.26
69,2023.09.26
68,2023.09.27
69,2023.09.29
69,2023.09.29
70,2023.09.30
69,2023.10.01
70,2023.10.03
68,2023.10.03
68,2023.10.04
68,2023.10.05
67,2023.10.07
68,2023.10.08
68,2023.10.08
36,2023.10.09
68,2023.10.10
67,2023.10.11
68,2023.10.12
67,2023.10.13
68,2023.10.14
68,2023.10.16
68,2023.10.16
68,2023.10.17
68,2023.10.18
68,2023.10.19
78,2023.10.20
68,2023.10.21
68,2023.10.22
68,2023.10.23
69,2023.10.24
69,2023.10.25
69,2023.10.26
69,2023.10.27
68,2023.10.28
68,2023.10.29
68,2023.10.30
68,2023.10.31
68,2023.11.01
70,2023.11.02
70,2023.11.03
68,2023.11.06
68,2023.11.06
68,2023.11.06
70,2023.11.07
69,2023.11.09
68,2023.11.09
69,2023.11.10
70,2023.11.11
70,2023.11.12
69,2023.11.14
69,2023.11.15
69,2023.11.16
68,2023.11.17
68,2023.11.18
69,2023.11.19
68,2023.11.20
67,2023.11.21
67,2023.11.22
67,2023.11.26
68,2023.11.26
68,2023.11.26
68,2023.11.28
67,2023.11.28
68,2023.11.29
68,2023.12.01
68,2023.12.01
64,2023.12.03
67,2023.12.04
67,2023.12.05
68,2023.12.06
67,2023.12.08
68,2023.12.08
68,2023.12.09
68,2023.12.10
67,2023.12.11
66,2023.12.12
66,2023.12.14
67,2023.12.14
67,2023.12.15
66,2023.12.17
67,2023.12.18
67,2023.12.18
67,2023.12.20
66,2023.12.21
66,2023.12.21
67,2023.12.22
65,2023.12.23
65,2023.12.24
65,2023.12.25
65,2023.12.26
65,2023.12.27
64,2023.12.28
64,2023.12.29
65,2023.12.30
63,2023.12.31
65,2024.01.01
66,2024.01.02
65,2024.01.03
65,2024.01.05
64,2024.01.05
65,2024.01.06
64,2024.01.07
65,2024.01.08
65,2024.01.09
66,2024.01.10
66,2024.01.11
65,2024.01.12
65,2024.01.13
66,2024.01.14
65,2024.01.15
65,2024.01.16
65,2024.01.17
66,2024.01.18
66,2024.01.19
66,2024.01.20
65,2024.01.21
65,2024.01.22
66,2024.01.23
64,2024.01.24
65,2024.01.25
65,2024.01.26
64,2024.01.27
64,2024.01.28
64,2024.01.29
64,2024.01.30
65,2024.01.31
66,2024.02.01
65,2024.02.02
65,2024.02.03
64,2024.02.04
64,2024.02.04
65,2024.02.05
65,2024.02.06
64,2024.02.07
55,2024.02.08
64,2024.02.09
65,2024.02.10
54,2024.02.11
65,2024.02.12
65,2024.02.13
64,2024.02.14
65,2024.02.15
65,2024.02.16
66,2024.02.17
65,2024.02.18
65,2024.02.19
64,2024.02.20
64,2024.02.21
65,2024.02.22
65,2024.02.23
65,2024.02.24
65,2024.02.26
65,2024.02.26
64,2024.02.27
65,2024.02.29
65,2024.02.29
65,2024.03.01
65,2024.03.02
64,2024.03.03
65,2024.03.04
65,2024.03.05
64,2024.03.07
64,2024.03.07
63,2024.03.08
63,2024.03.09
62,2024.03.10
63,2024.03.11
65,2024.03.12
64.3,2024.03.13
64,2024.03.14
64.4,2024.03.15
64,2024.03.16
